$video_id$video_title$upload_date$view_count$like_count$comment_count
0$GCK2JihJIXQ$Mapo Tofu Recipe 麻婆豆腐（鸡肉版）$2022-06-22$142$48$65
1$ChIqk4xlvtE$Oatmeal Bread, No Flour! No Sugar! 燕麦面包，无面粉和糖！$2022-06-15$212$52$138
2$EPjFWKIcjJI$Tempura Shrimp Recipe 天妇罗$2022-06-07$317$64$190
3$Lyz_p5mYhtQ$If you have a baguette at home, you can make garlic bread. Very yummy and crispy 用法棍烤蒜香面包片太脆太香啦$2022-05-24$471$57$157
4$ZaPmwuUfnJw$Scallion Flatbread 发面葱花烙饼, 松软好吃简单易做$2022-05-06$601$61$203
5$s0ysdAKpD2U$New way to eat dumpling skins, real tasty 这样做韭菜盒子太香啦😋 省事又方便！$2022-04-23$802$68$258
6$o977UURIfCQ$Beet Salad | Only three ingredients will make the Beet absolutely delicious  甜菜根这样凉拌，一点土腥味都没有，全家人都爱吃$2022-04-14$813$69$201
7$z7_WuNHe2wY$Mung Bean Pastry绿豆酥饼$2022-04-06$1122$79$272
8$OGJCKN2xKTI$Sweet Acacia Tree Flower$2022-03-26$1071$73$243
9$bMT4eiTOzSM$French Toast in 5 minutes | French Toast for Beginners | How to Make French Toast 简单美味的法式吐司$2022-03-19$1101$77$248
10$HFpWoiBikPQ$Fabulous 5 - Minutes Meal | Quick and Yummy Egg-Bacon-Avocado Whole Wheat Sandwich 5分钟就可以做到的鸡蛋培根三明治$2022-03-15$1109$60$192
11$c0vM3pTOju8$Less than 2 Dollars Homemade Shrimp Tempura Sushi Roll | How to make shrimp tempura at home 天妇罗寿司卷$2022-03-08$1219$65$191
12$bTjH8SI97sY$No Flour! No Oil! Only 4 Ingredients. Make this Healthy Almond Crisps in 5 minutes!$2022-03-01$1259$69$192
13$_J3NrVPNdUM$Three Quick and Simple Sushi Sandwich Recipes | Folded Kimbap | Everyone Can Make It 紫菜包飯$2022-02-25$1392$68$193
14$W8mZLzBkpbM$California Roll |Make California Roll with Spam If you don’t have imitation crab, How to roll sushi$2022-02-19$1428$64$209
15$uBsBvZQwb5M$芝麻汤圆, 在家制做非常简单, 不用出去买  Sweet Rice Dumplings / Very easy make at home$2022-02-12$1474$66$197
16$rXMPeIKOrgM$I can’t stop making this bread, very soft and tasty. No Knead ! Everyone can make it at home$2022-02-08$1589$73$186
17$aM4gRgzEFso$[ENG SUB] 油焖大虾，5分钟轻松完成，鲜香咸甜，好吃的停不下来 年夜菜怎么能少了它 Fried Shrimp, make it in 5 minutes, very delicious$2022-01-29$1575$71$214
18$-RW8EbYP-zY$Deep dish pizza, make with tortilla, simple and yummy breakfast 墨西哥卷餅披萨$2022-01-21$1735$74$233
19$CJ7nSFKTaYE$Tortilla Pizza , Super Easy and Healthy Pizza In 10 Minutes [ENG SUB]$2022-01-14$1672$65$183
20$NXlUUdufxFY$糯米果仁養生糕，Q弹软糯香甜、做法极其简单，零失败配方 Baked Glutinous Rice Cake$2022-01-03$4527$91$199
21$xhlqKsYcSSw$炸油条，只需一盒Biscuits Dough就可以做到，5分钟搞定，简单美味省时省力Youtiao—Just Need One Can of Biscuits Dough Can Make It$2021-12-25$2193$78$222
22$OWxrgeY3usg$鸡蛋牛油果火腿卷饼｜五分钟营养早餐 Egg Roll Recipe | 5 minutes healthy breakfast$2021-12-15$1823$72$256
23$x_-sn6016xs$Perfect for breakfast! Make cinnamon roll crescents with crescent roll in 5 mins$2021-12-09$1285$61$173
24$0SYQkNozToY$酸汤水饺，如何做酸汤水饺的酸汤How to Make Sour Soup Dumplings | Homemade Chili Oil Recipe$2021-12-02$1314$63$201
25$oNz2mU5KgZ0$三文鱼排，不放一滴油就可以煎出外脆里嫩的三文鱼Very Juicy Salmon Steak | Easy Pan Fried Recipe$2021-11-25$1204$59$204
26$QqDLduviMIs$Chinese Scallion pancakes简单发面葱香盘丝饼， 葱花和盐直接放到面粉里，照样可以做出好吃的盘丝饼，并且外脆里软$2021-11-18$1196$69$220
